date,value
1/04/1980,52.7
1/03/1980,56.5
1/02/1980,66.9
1/01/1980,67.0
1/12/1979,61.0
1/11/1979,63.3
1/10/1979,62.1
1/09/1979,66.7
1/08/1979,64.5
1/07/1979,60.4
1/06/1979,65.8
1/05/1979,68.1
1/04/1979,66.0
1/03/1979,68.4
1/02/1979,73.9
1/01/1979,72.1
1/12/1978,66.1
1/11/1978,75.0
1/10/1978,79.3
1/09/1978,80.4
1/08/1978,78.4
1/07/1978,82.4
1/06/1978,80.0
1/05/1978,82.9
1/04/1978,81.6
1/03/1978,78.8
1/02/1978,84.3
1/01/1978,83.7
1/12/1977,.
1/11/1977,84.4
1/10/1977,.
1/09/1977,.
1/08/1977,89.0
1/07/1977,.
1/06/1977,.
1/05/1977,90.2
1/04/1977,.
1/03/1977,.
1/02/1977,87.1
1/01/1977,.
1/12/1976,.
1/11/1976,87.0
1/10/1976,.
1/09/1976,.
1/08/1976,89.7
1/07/1976,.
1/06/1976,.
1/05/1976,83.3
1/04/1976,.
1/03/1976,.
1/02/1976,84.6
1/01/1976,.
1/12/1975,.
1/11/1975,75.6
1/10/1975,.
1/09/1975,.
1/08/1975,75.7
1/07/1975,.
1/06/1975,.
1/05/1975,72.8
1/04/1975,.
1/03/1975,.
1/02/1975,57.6
1/01/1975,.
1/12/1974,.
1/11/1974,59.5
1/10/1974,.
1/09/1974,.
1/08/1974,64.4
1/07/1974,.
1/06/1974,.
1/05/1974,72.1
1/04/1974,.
1/03/1974,.
1/02/1974,61.8
1/01/1974,.
1/12/1973,.
1/11/1973,76.5
1/10/1973,.
1/09/1973,.
1/08/1973,72.0
1/07/1973,.
1/06/1973,.
1/05/1973,77.0
1/04/1973,.
1/03/1973,.
1/02/1973,81.9
1/01/1973,.
1/12/1972,.
1/11/1972,90.7
1/10/1972,.
1/09/1972,.
1/08/1972,95.2
1/07/1972,.
1/06/1972,.
1/05/1972,88.6
1/04/1972,.
1/03/1972,.
1/02/1972,92.8
1/01/1972,.
1/12/1971,.
1/11/1971,82.0
1/10/1971,.
1/09/1971,.
1/08/1971,82.1
1/07/1971,.
1/06/1971,.
1/05/1971,80.2
1/04/1971,.
1/03/1971,.
1/02/1971,78.1
1/01/1971,.
1/12/1970,.
1/11/1970,72.4
1/10/1970,.
1/09/1970,.
1/08/1970,77.6
1/07/1970,.
1/06/1970,.
1/05/1970,75.4
1/04/1970,.
1/03/1970,.
1/02/1970,78.1
1/01/1970,.
1/12/1969,.
1/11/1969,79.7
1/10/1969,.
1/09/1969,.
1/08/1969,86.4
1/07/1969,.
1/06/1969,.
1/05/1969,91.5
1/04/1969,.
1/03/1969,.
1/02/1969,98.2
1/01/1969,.
1/12/1968,.
1/11/1968,91.7
1/10/1968,.
1/09/1968,.
1/08/1968,92.4
1/07/1968,.
1/06/1968,.
1/05/1968,92.4
1/04/1968,.
1/03/1968,.
1/02/1968,97.2
1/01/1968,.
1/12/1967,.
1/11/1967,92.9
1/10/1967,.
1/09/1967,.
1/08/1967,97.0
1/07/1967,.
1/06/1967,.
1/05/1967,95.9
1/04/1967,.
1/03/1967,.
1/02/1967,94.1
1/01/1967,.
1/12/1966,.
1/11/1966,88.3
1/10/1966,.
1/09/1966,.
1/08/1966,91.2
1/07/1966,.
1/06/1966,.
1/05/1966,95.7
1/04/1966,.
1/03/1966,.
1/02/1966,100.0
1/01/1966,.
1/12/1965,.
1/11/1965,102.9
1/10/1965,.
1/09/1965,.
1/08/1965,103.4
1/07/1965,.
1/06/1965,.
1/05/1965,105.4
1/04/1965,.
1/03/1965,.
1/02/1965,102.0
1/01/1965,.
1/12/1964,.
1/11/1964,99.9
1/10/1964,.
1/09/1964,.
1/08/1964,100.6
1/07/1964,.
1/06/1964,.
1/05/1964,98.5
1/04/1964,.
1/03/1964,.
1/02/1964,99.5
1/01/1964,.
1/12/1963,.
1/11/1963,94.4
1/10/1963,.
1/09/1963,.
1/08/1963,96.4
1/07/1963,.
1/06/1963,.
1/05/1963,91.7
1/04/1963,.
1/03/1963,.
1/02/1963,98.4
1/01/1963,.
1/12/1962,.
1/11/1962,95.0
1/10/1962,.
1/09/1962,.
1/08/1962,91.6
1/07/1962,.
1/06/1962,.
1/05/1962,95.4
1/04/1962,.
1/03/1962,.
1/02/1962,99.9
1/01/1962,.
1/12/1961,.
1/11/1961,93.0
1/10/1961,.
1/09/1961,.
1/08/1961,99.2
1/07/1961,.
1/06/1961,.
1/05/1961,92.5
1/04/1961,.
1/03/1961,.
1/02/1961,91.6
1/01/1961,.
1/12/1960,.
1/11/1960,90.1
1/10/1960,.
1/09/1960,.
1/08/1960,97.2
1/07/1960,.
1/06/1960,.
1/05/1960,93.3
1/04/1960,.
1/03/1960,.
1/02/1960,100.0
1/01/1960,.
1/12/1959,.
1/11/1959,93.8
1/10/1959,.
1/09/1959,.
1/08/1959,.
1/07/1959,.
1/06/1959,.
1/05/1959,95.3
1/04/1959,.
1/03/1959,.
1/02/1959,.
1/01/1959,.
1/12/1958,.
1/11/1958,90.8
1/10/1958,.
1/09/1958,.
1/08/1958,.
1/07/1958,.
1/06/1958,.
1/05/1958,80.9
1/04/1958,.
1/03/1958,.
1/02/1958,78.5
1/01/1958,.
1/12/1957,.
1/11/1957,83.7
1/10/1957,.
1/09/1957,.
1/08/1957,.
1/07/1957,.
1/06/1957,.
1/05/1957,92.9
1/04/1957,.
1/03/1957,.
1/02/1957,.
1/01/1957,.
1/12/1956,.
1/11/1956,100.2
1/10/1956,.
1/09/1956,.
1/08/1956,99.9
1/07/1956,.
1/06/1956,.
1/05/1956,98.2
1/04/1956,.
1/03/1956,.
1/02/1956,.
1/01/1956,.
1/12/1955,.
1/11/1955,99.7
1/10/1955,.
1/09/1955,.
1/08/1955,.
1/07/1955,.
1/06/1955,.
1/05/1955,99.1
1/04/1955,.
1/03/1955,.
1/02/1955,95.9
1/01/1955,.
1/12/1954,.
1/11/1954,87.0
1/10/1954,.
1/09/1954,.
1/08/1954,.
1/07/1954,.
1/06/1954,.
1/05/1954,82.9
1/04/1954,.
1/03/1954,.
1/02/1954,82.0
1/01/1954,.
1/12/1953,.
1/11/1953,80.7
1/10/1953,.
1/09/1953,.
1/08/1953,80.8
1/07/1953,.
1/06/1953,.
1/05/1953,.
1/04/1953,.
1/03/1953,.
1/02/1953,90.7
1/01/1953,.
1/12/1952,.
1/11/1952,86.2
